Date,Hour,AirTemp.,SurfaceTemp.,Rain,WindSpeed,WindDirect.,WindSpeed(max),WindSpeed(min),Humidity,Barom.Press.,"Solar radiation",SolarradiationEnergy,LeafWetness,DewPoint,WetBulb,"Sun Hours",BatteryVoltage
2023-02-08,1:0,26.4,21.2,0,3.9,177,9.3,0.4,93.2,904,0,0,158.7,25.2,25.5,0,12.81
2023-02-08,2:0,23.1,21.2,0,3.4,131.5,7.5,1.2,99.9,905,0,0,312.9,23.1,23.1,0,12.79
2023-02-08,3:0,22.6,21.4,0,3,173.7,5.1,1.1,99.9,905,0,0,303.3,22.6,22.6,0,12.77
2023-02-08,4:0,23,21.5,0,2.8,194,5.2,0.3,99.9,904,0,0,302,23,23,0,12.74
2023-02-08,5:0,23.9,21.9,0,4.8,161.5,7.3,2.4,99.9,904,0,0,307.2,23.9,23.9,0,12.73
2023-02-08,6:0,23.8,21.8,0,5.9,152.9,9,3.5,99.9,903,0.5,0,239.3,23.8,23.8,0,12.7
2023-02-08,7:0,23.6,22.1,0,4.3,154.9,7.4,2.3,99.9,903,8.6,0.03,193.8,23.6,23.6,0,12.69
2023-02-08,8:0,24.5,22.8,0,4.3,159.8,7.3,2.7,99.9,904,74.7,0.27,187.4,24.5,24.5,0,12.72
2023-02-08,9:0,25.6,22.9,0,4.5,149.2,7.2,2.1,98.6,905,208.8,0.75,178.7,25.4,25.4,0.3,12.95
2023-02-08,10:0,27,22.8,0,4.7,145.3,7.6,2.4,90.6,905,407.9,1.47,161.3,25.3,25.7,10.5,13.29
2023-02-08,11:0,28.4,22.4,0,4,136.5,6.6,1.9,84.9,905,662.8,2.39,155.2,25.6,26.3,33.3,13.52
2023-02-08,12:0,29.7,22.3,0,2.8,126,5.1,1.2,79,905,598.8,2.16,154.6,25.7,26.6,20.4,13.52
2023-02-08,13:0,31.8,23,0,3.1,105.8,6.1,0.9,71.7,904,1032,3.72,154.2,26,27.4,56,13.41
2023-02-08,14:0,32.8,23,0,3.3,109.1,5.8,1.4,66.2,903,785.3,2.83,154,25.6,27.3,42.7,14.24
2023-02-08,15:0,33.2,23.2,0,2.8,120,5.7,0.4,62.2,902,775.5,2.79,153.8,25,27,42.1,14.21
2023-02-08,16:0,33.8,23.5,0,2.4,132.7,4.5,0.3,59.2,901,779.8,2.81,153.6,24.7,26.8,55.7,13.56
2023-02-08,17:0,33.7,23.5,0,1.9,175.3,3.9,0.3,57.4,901,554,1.99,153.5,24.1,26.5,56.1,13.46
2023-02-08,18:0,33.7,23.3,0,1.9,158.3,4.2,0.3,56.1,900,319.8,1.15,153.6,23.7,26.1,59.4,13.32
2023-02-08,19:0,32.3,23.6,0,1.5,163.2,3.4,0.3,63.7,901,57.2,0.21,154.5,24.5,26.4,11.7,13.02
2023-02-08,20:0,30.9,24.1,0,0.7,168.2,1.5,0.3,75.2,901,0.2,0,156.8,26,27.1,0,12.97
2023-02-08,21:0,30.3,24.1,0,0.3,141.7,0.8,0.3,82,902,0,0,158.7,26.9,27.7,0,12.93
2023-02-08,22:0,29.9,23.7,0,0.3,179,0.6,0.3,84.7,902,0,0,165,27.1,27.7,0,12.9
2023-02-08,23:0,28.9,23.7,0,0.3,170.7,0.3,0.3,91.8,903,0,0,175.3,27.5,27.8,0,12.88
2023-02-08,24:0,28.4,23.8,0,0.3,150.7,0.8,0.3,93.8,902,0,0,191.3,27.3,27.6,0,12.85
