Date,Hour,AirTemp.,SurfaceTemp.,Rain,WindSpeed,WindDirect.,WindSpeed(max),WindSpeed(min),Humidity,Barom.Press.,"Solar radiation",SolarradiationEnergy,LeafWetness,DewPoint,WetBulb,"Sun Hours",BatteryVoltage
2023-01-18,1:0,26.9,28.2,0,0.3,124,1.1,0.3,96.8,906,0,0,159.4,26.4,26.5,0,12.82
2023-01-18,2:0,26.7,28.2,0,0.3,204.4,0.3,0.3,99.7,905,0,0,165,26.6,26.6,0,12.8
2023-01-18,3:0,26.5,28.2,0,0.4,157.1,1.9,0.3,99.8,905,0,0,168.7,26.5,26.5,0,12.78
2023-01-18,4:0,26.2,28.2,0,0.4,107.3,1.3,0.3,99.9,904,0,0,176.6,26.2,26.2,0,12.76
2023-01-18,5:0,25.9,28.1,0,0.9,172.1,2,0.3,99.9,904,0,0,193.3,25.9,25.9,0,12.73
2023-01-18,6:0,25.4,28.1,0,0.6,153.5,1.6,0.3,99.9,905,0.1,0,209.6,25.4,25.4,0,12.7
2023-01-18,7:0,25.6,27.9,0,1,144.9,2.4,0.3,99.5,905,41.3,0.15,215.4,25.6,25.6,11.8,12.69
2023-01-18,8:0,27,27.9,0,1.8,130.1,3.1,0.9,93.7,906,156.6,0.56,196.5,25.9,26.1,4.7,12.8
2023-01-18,9:0,29,28.1,0,2.5,87.4,4.7,0.7,81.3,907,369.7,1.33,156.9,25.5,26.3,25.9,13.11
2023-01-18,10:0,30.4,28.1,0,3.5,67.03,5.3,1.9,72.1,907,537.3,1.93,154.2,24.8,26.1,30.3,13.31
2023-01-18,11:0,32,28,0,3.2,50.54,5.8,0.6,65.7,906,741.9,2.67,153.4,24.7,26.5,37.4,13.49
2023-01-18,12:0,31.8,28.1,0,3.5,76.3,7,1.5,67.7,906,,,154,25.1,26.7,7.2,13.38
2023-01-18,13:0,33.5,28,0,2.7,104.8,5.7,0.3,59.9,905,,,153.1,24.6,26.7,19.7,13.36
2023-01-18,14:0,35,27.8,0,2.8,64.12,6.5,0.3,51.9,904,,,152.8,23.7,26.5,34.1,13.45
2023-01-18,15:0,34.7,27.8,0,2.7,68.99,5.9,0.6,50.6,903,349.5,1.26,152.6,22.9,25.9,6.1,13.47
2023-01-18,16:0,35.7,27.7,0,2.7,113.3,6.6,0.3,46.8,902,641.3,2.31,152.7,22.6,25.9,39,13.93
2023-01-18,17:0,36.2,27.5,0,3.2,46.7,6,1,46.6,901,547.7,1.97,152.5,22.9,26.2,36.7,13.86
2023-01-18,18:0,35,27.4,0,3.2,78.7,5.4,1.5,49.1,901,189.1,0.68,152.5,22.7,25.8,18.7,13.15
2023-01-18,19:0,34.6,26.9,0,4.3,85.1,7.1,2.2,51.6,902,109.5,0.39,152.6,23.2,26,24.9,13.03
2023-01-18,20:0,32.8,26.4,0,3.2,81.1,7.5,2.1,55.4,903,1.1,0,152.9,22.7,25.3,0,12.96
2023-01-18,21:0,31,25.8,0,4.2,67.72,6.4,2.6,65.2,904,0,0,153.2,23.7,25.5,0,12.92
2023-01-18,22:0,29.3,25.7,0,3.3,97.8,5,1.8,71.8,904,0,0,153.6,23.7,25.1,0,12.89
2023-01-18,23:0,28.3,25.6,0,3,98.4,4.5,1.6,77.8,905,0,0,154.1,24.1,25.1,0,12.85
2023-01-18,24:0,27.8,25.1,0,2.1,75.75,3.4,1.2,81.4,905,0,0,154.5,24.3,25.2,0,12.83
