Date,Hour,AirTemp.,SurfaceTemp.,Rain,WindSpeed,WindDirect.,WindSpeed(max),WindSpeed(min),Humidity,Barom.Press.,"Solar radiation",SolarradiationEnergy,LeafWetness,DewPoint,WetBulb,"Sun Hours",BatteryVoltage
2023-01-03,1:0,26.5,27.7,0,3.6,29.87,5.8,2.1,85.3,906,0,0,154.2,23.8,24.5,0,12.8
2023-01-03,2:0,26.2,27.9,0,4.1,31.87,6.6,2.1,88.7,906,0,0,154.4,24.2,24.7,0,12.78
2023-01-03,3:0,25.4,27.8,0,3.6,40.67,5.9,1.8,94.7,905,0,0,155.1,24.5,24.8,0,12.76
2023-01-03,4:0,25,27.9,0,3.2,39.45,4.8,1.9,99,905,0,0,155.7,24.8,24.9,0,12.74
2023-01-03,5:0,25.1,28,0,3.3,39.43,5,2,98.1,905,0,0,155.5,24.8,24.9,0,12.72
2023-01-03,6:0,25,27.8,0,2.8,20.85,4.7,1.2,98.9,905,0.5,0,155.7,24.9,24.9,0,12.7
2023-01-03,7:0,25.3,27.7,0,1.9,28.41,3.2,0.4,97.7,906,74,0.27,155.9,24.9,25,27.3,12.7
2023-01-03,8:0,26.4,27.9,0,2.6,9.73,4.6,1.2,87.3,907,184.5,0.66,155.1,24.2,24.7,14.2,12.8
2023-01-03,9:0,28.3,28.1,0,3.2,6.412,6.1,1.6,76.3,907,440.4,1.59,153.9,23.7,24.8,25.6,13.12
2023-01-03,10:0,29.5,28.1,0,3.2,9.21,5.5,1.5,69.4,907,356.7,1.28,153.4,23.4,24.9,3.7,13.24
2023-01-03,11:0,31,28.1,0,3.6,357.6,6.4,1.5,63.3,907,482.1,1.74,153,23.2,25.2,13.9,13.34
2023-01-03,12:0,29.5,28.1,0,2.3,267.3,6.8,0.3,76.9,906,,,167.5,25,26.1,3.2,13.19
2023-01-03,13:0,26.6,27.9,0,3.6,34.72,9.2,0.7,92,906,126.1,0.45,243,25.2,25.5,0,13.04
2023-01-03,14:0,25.5,26.9,0,2.2,51.88,4.2,0.3,99.9,906,177.8,0.64,217.7,25.5,25.5,0,13.14
2023-01-03,15:0,27,27.4,0,1.4,157.5,5.1,0.3,96,905,152.9,0.55,191.7,26.3,26.4,0,13.04
2023-01-03,16:0,26.7,27.6,0,1.6,269.8,4.1,0.3,93,905,273.2,0.98,173.4,25.5,25.8,5,13.14
2023-01-03,17:0,28.8,27.7,0,1.5,321.8,4.6,0.3,79.6,904,449.5,1.62,155,24.9,25.8,40.1,13.34
2023-01-03,18:0,30.9,27.9,0,1.1,350,2.9,0.3,69.5,904,412.6,1.49,154.2,24.7,26.2,59.7,13.19
2023-01-03,19:0,29.7,27.7,0,0.6,13.72,2.4,0.3,76.2,904,28.7,0.1,155.3,25.1,26.2,0.2,12.93
2023-01-03,20:0,28,26.5,0,1.5,52.06,2.1,0.3,88.9,904,0.5,0,161.8,26,26.5,0,12.84
2023-01-03,21:0,27.7,24.5,0,0.7,45.4,1.6,0.3,91.5,905,0,0,169.8,26.2,26.5,0,12.8
2023-01-03,22:0,27.5,23.8,0,0.8,35.69,1.8,0.3,95.7,905,0,0,176.5,26.7,26.9,0,12.76
2023-01-03,23:0,27.1,22.9,0,4,10.43,12.6,0.3,89.6,906,0,0,168.5,25.2,25.7,0,12.73
2023-01-03,24:0,25.3,22.2,0,3.8,359.1,9,1.2,92.9,906,0,0,176.2,24,24.3,0,12.69
