Date,Hour,AirTemp.,SurfaceTemp.,Rain,WindSpeed,WindDirect.,WindSpeed(max),WindSpeed(min),Humidity,Barom.Press.,"Solar radiation",SolarradiationEnergy,LeafWetness,DewPoint,WetBulb,"Sun Hours",BatteryVoltage
2023-01-01,1:0,26.4,28.2,0,2.9,137.1,4.8,1.4,83.2,908,0,0,154.7,23.3,24.1,0,12.76
2023-01-01,2:0,25.9,28.2,0,3.1,137.8,4.8,1.5,87.1,908,0,0,154.9,23.6,24.1,0,12.74
2023-01-01,3:0,25.4,28.2,0,2.4,133.5,3.7,1.3,92.3,907,0,0,155.1,24,24.4,0,12.71
2023-01-01,4:0,25,28.3,0,2.2,132.9,3.3,1.4,95.8,907,0,0,155.5,24.3,24.5,0,12.68
2023-01-01,5:0,25.3,28.3,0,2.6,128.9,4.4,1.1,94.4,907,0,0,155.6,24.3,24.5,0,12.65
2023-01-01,6:0,25,28.3,0,2.3,122.9,3.7,1.4,97,907,0.3,0,156.2,24.5,24.6,0,12.62
2023-01-01,7:0,25.6,28.3,0,3.3,104.8,6.5,1.7,92.7,908,29.9,0.11,155.8,24.3,24.7,0,12.62
2023-01-01,8:0,26.3,28.2,0,4.5,98.9,7.4,2.1,90.7,908,94.1,0.34,180.7,24.6,25,0,12.68
2023-01-01,9:0,26.6,28.2,0,4.3,97.7,6.8,2.5,96.4,909,260,0.94,207.6,26,26.2,0,13.01
2023-01-01,10:0,29.1,28.2,0,6.1,85.2,9.5,3.1,77.5,909,416.3,1.5,155.5,24.7,25.8,9.6,13.22
2023-01-01,11:0,31.6,28.1,0,6.2,75.74,10.4,3.6,63.8,908,,,153.3,23.9,25.8,34.4,13.42
2023-01-01,12:0,32.3,28.1,0,5.1,70.97,9.2,2.1,59.1,907,524.9,1.89,152.9,23.3,25.6,13.6,13.36
2023-01-01,13:0,34.1,28.1,0,4.3,75.11,7.8,2.1,51.7,906,764.4,2.75,152.8,22.6,25.5,32,13.25
2023-01-01,14:0,34.8,28,0,3.9,89.5,8,1.5,49.1,905,,,160.2,22.5,25.6,24.7,13.39
2023-01-01,15:0,34.9,28.1,0,5,78.75,8.4,1.5,45,904,561.6,2.02,152,21.2,24.9,17.7,13.53
2023-01-01,16:0,34.1,28,0,5.6,80.3,12,1.1,53.2,904,557.4,2.01,177.4,22.3,25.4,31,13.73
2023-01-01,17:0,28.7,28.1,0,3.9,84.2,6.8,1.9,85.9,904,142.1,0.51,187.8,26,26.6,0,13.14
2023-01-01,18:0,29.4,28.2,0,4.1,57.84,7.2,2.3,78.3,904,71,0.26,155.2,25.2,26.2,0,13
2023-01-01,19:0,29,28.2,0,4,22.98,7,2.3,78.7,904,37.3,0.13,155,24.9,25.9,0,12.94
2023-01-01,20:0,27.9,28.2,0,2.2,26.54,4.3,1,84.2,905,0.3,0,156.6,25,25.7,0,12.89
2023-01-01,21:0,27,28.2,0,2.2,32.58,3.3,0.3,95.9,906,0,0,221.8,26.3,26.5,0,12.86
2023-01-01,22:0,26.3,28.2,0,1.5,55.41,2.2,0.8,99.9,907,0,0,205.6,26.3,26.3,0,12.82
2023-01-01,23:0,25.7,28.2,0,1.4,112.5,2.4,0.3,99.9,907,0,0,185.7,25.7,25.7,0,12.78
2023-01-01,24:0,25.8,28.2,0,2.4,80.6,3.9,1.2,99.9,907,0,0,186,25.8,25.8,0,12.77
