Date,Hour,AirTemp.,SurfaceTemp.,Rain,WindSpeed,WindDirect.,WindSpeed(max),WindSpeed(min),Humidity,Barom.Press.,"Solar radiation",SolarradiationEnergy,LeafWetness,DewPoint,WetBulb,"Sun Hours",BatteryVoltage
2023-01-02,1:0,25.3,28.2,0,2.3,75.09,4.3,0.9,99.9,906,0,0,183.1,25.3,25.3,0,12.75
2023-01-02,2:0,25.3,28.2,0,3,70.86,5,1.7,99,906,0,0,175.5,25.2,25.2,0,12.73
2023-01-02,3:0,25,28.3,0,2.7,63.87,4,1.5,99.9,905,0,0,170.5,25,25,0,12.7
2023-01-02,4:0,25,28.3,0,2.8,66.82,5.1,1.3,99.9,905,0,0,173.2,25,25,0,12.67
2023-01-02,5:0,24.6,28.3,0,1.7,112.5,3,0.9,99.9,905,0,0,180.5,24.6,24.6,0,12.64
2023-01-02,6:0,24.4,28.3,0,1.4,110.3,2.7,0.4,99.9,905,0.4,0,186.2,24.4,24.4,0,12.61
2023-01-02,7:0,24.9,28.2,0,2,111.6,4.8,0.8,99.9,906,56.5,0.2,190.9,24.8,24.8,9.8,12.61
2023-01-02,8:0,25.9,28.2,0,3.5,61.52,5.3,1.8,98.5,907,188.2,0.68,164.8,25.6,25.7,8.8,12.72
2023-01-02,9:0,28.8,28.2,0,4.4,30.52,7.3,2.5,79.4,907,562.9,2.03,155.1,24.8,25.8,54.5,13.12
2023-01-02,10:0,30.5,28.1,0,4.9,31.49,7.5,2.6,68,907,706.1,2.54,153.7,24,25.6,44.8,13.31
2023-01-02,11:0,31.9,28.1,0,4.9,23.44,8.7,1.9,61.4,907,739.5,2.66,153.1,23.5,25.6,37.1,13.41
2023-01-02,12:0,33.3,28.1,0,4.8,37.04,8.1,2,55.5,907,865,3.11,152.8,23.1,25.7,37.7,13.35
2023-01-02,13:0,33.5,28.1,0,4.4,28.41,8.5,1.8,52.8,906,,,152.5,22.6,25.4,18.2,13.37
2023-01-02,14:0,34.7,28.1,0,4.5,18.42,8,1.7,48.2,905,,,152.5,22.2,25.4,45.6,13.59
2023-01-02,15:0,35.6,28,0,4.4,26.54,7.8,1.7,44.6,904,883,3.18,152.2,21.7,25.3,48.4,14.06
2023-01-02,16:0,35.2,28,0,3.6,34.25,7.3,0.3,45.2,904,484.4,1.74,152,21.6,25.1,18.2,13.66
2023-01-02,17:0,34.9,28,0,4.2,42.3,7.9,1.7,47.6,903,364.3,1.31,152,22.1,25.4,22.5,13.5
2023-01-02,18:0,32.5,28,0,5.8,26.66,10,2.8,56.9,903,98.4,0.35,152.3,22.8,25.3,0.1,13.09
2023-01-02,19:0,31.7,27.9,0,5.5,27.7,8.7,2.8,61.2,903,80.7,0.29,152.6,23.4,25.5,21.6,12.98
2023-01-02,20:0,30.5,27.6,0,4.7,25.98,7.6,2.7,65.4,904,1.3,0,152.9,23.3,25.1,0,12.93
2023-01-02,21:0,29.3,27.7,0,4,19.23,6.7,1.9,70.4,906,0,0,153.3,23.4,24.9,0,12.91
2023-01-02,22:0,28,27.5,0,3.3,23.71,5.2,1.9,74.7,906,0,0,153.5,23.1,24.4,0,12.87
2023-01-02,23:0,26.8,27.9,0,2.9,36.09,4.5,1.5,80.2,907,0,0,153.7,23.1,24.1,0,12.84
2023-01-02,24:0,26.6,27.5,0,2.9,23.27,5.1,1.7,83.5,906,0,0,154,23.6,24.3,0,12.82
