Date,Hour,AirTemp.,SurfaceTemp.,Rain,WindSpeed,WindDirect.,WindSpeed(max),WindSpeed(min),Humidity,Barom.Press.,"Solar radiation",SolarradiationEnergy,LeafWetness,DewPoint,WetBulb,"Sun Hours",BatteryVoltage
2023-01-25,1:0,26.3,28.2,0,4,35.56,6.7,1.8,88.1,903,0,0,157.5,24.2,24.7,0,12.81
2023-01-25,2:0,26,28.2,0,2.5,344,4.6,0.4,90.2,902,0,0,156,24.3,24.7,0,12.78
2023-01-25,3:0,25.6,28.2,0,1,240.8,3.9,0.3,95,902,0,0,156.9,24.7,24.9,0,12.75
2023-01-25,4:0,25,28.3,0,1.4,236.2,3.7,0.3,98.1,902,0,0,160.1,24.7,24.8,0,12.72
2023-01-25,5:0,23.8,28.3,0,1,107,2.3,0.3,99.9,902,0,0,171.6,23.8,23.8,0,12.69
2023-01-25,6:0,23.3,28.3,0,0.7,90.2,1.8,0.3,99.9,903,0,0,182.5,23.3,23.3,0,12.67
2023-01-25,7:0,23.6,28.3,0,0.3,300.7,0.3,0.3,99.8,903,39.5,0.14,191.6,23.6,23.6,14,12.65
2023-01-25,8:0,26.8,28.3,0,0.4,75.98,1.3,0.3,88.8,904,241,0.87,184.4,24.8,25.3,60,12.73
2023-01-25,9:0,29.4,28.1,0,0.8,342.7,2.1,0.3,73.1,904,483.8,1.74,154.9,24.1,25.4,60,13.06
2023-01-25,10:0,31.5,28.1,0,1.4,310.1,3.4,0.3,63,904,706.3,2.54,153.5,23.6,25.5,57.6,13.35
2023-01-25,11:0,33.8,28,0,2,41.15,4.8,0.3,49.6,904,904,3.25,152.9,21.8,24.9,60,13.52
2023-01-25,12:0,36.2,28,0,3.7,84.5,7,0.5,38.5,904,1037,3.73,152.6,19.8,24.3,60,13.43
2023-01-25,13:0,37.3,28,0,4,95.1,8.7,0.4,35.1,903,1013,3.65,152.3,19.3,24.3,54.1,13.16
2023-01-25,14:0,37.7,28,0,4.3,106.4,8.6,1.5,33.5,903,845,3.04,152,19,24.2,39,13.26
2023-01-25,15:0,38.2,28,0,4.8,110.4,8.6,1.9,30.4,902,813,2.93,151.9,17.8,23.7,44.2,13.94
2023-01-25,16:0,39.1,28,0,5.8,98.8,10,1.1,27.7,901,820,2.95,151.7,17.1,23.5,57.9,13.45
2023-01-25,17:0,38.6,28,0,5.2,89.1,9.5,2.1,29,900,607,2.19,151.5,17.4,23.6,60,13.38
2023-01-25,18:0,37.6,28,0,4.5,95.5,7.6,1.8,31.6,900,308.4,1.11,151.5,17.9,23.6,48.6,13.18
2023-01-25,19:0,36.3,28.1,0,4.1,87.3,6.1,2.2,34,900,100.1,0.36,151.4,18,23.3,28.6,13.02
2023-01-25,20:0,34.2,28.1,0,2.7,75.03,4.8,1.4,38.4,901,1.1,0,151.6,18,22.7,0,12.96
2023-01-25,21:0,32.3,28.1,0,1.4,45.58,2.1,0.3,43.2,901,0,0,151.9,18.2,22.4,0,12.92
2023-01-25,22:0,30.6,28.2,0,0.3,72.97,0.9,0.3,49.6,902,0,0,152.2,18.9,22.3,0,12.89
2023-01-25,23:0,28.9,28.2,0,1.3,85.2,2.1,0.3,56,903,0,0,152.5,19.2,22,0,12.86
2023-01-25,24:0,29.7,28.2,0,2.8,68.27,4.6,1.3,51.9,903,0,0,152.6,18.8,22,0,12.83
