Date,Hour,AirTemp.,SurfaceTemp.,Rain,WindSpeed,WindDirect.,WindSpeed(max),WindSpeed(min),Humidity,Barom.Press.,"Solar radiation",SolarradiationEnergy,LeafWetness,DewPoint,WetBulb,"Sun Hours",BatteryVoltage
2023-01-20,1:0,27.5,24.8,0,1.9,3.528,3.5,0.4,85.4,904,0,0,154.4,24.9,25.5,0,12.81
2023-01-20,2:0,26.8,25.5,0,0.6,306.4,2.1,0.3,89.6,903,0,0,155.9,24.9,25.4,0,12.77
2023-01-20,3:0,25.7,26.2,0,0.5,142.2,1.4,0.3,97.5,903,0,0,158.3,25.2,25.3,0,12.74
2023-01-20,4:0,24.8,25.2,0,0.7,88.8,2.3,0.3,99.9,903,0,0,162.7,24.8,24.8,0,12.72
2023-01-20,5:0,24.4,25.7,0,1.1,128.2,2,0.3,99.9,903,0,0,167.6,24.4,24.4,0,12.68
2023-01-20,6:0,24.5,25.8,0,0.9,112.8,2.3,0.3,99.9,903,0.1,0,173.7,24.5,24.5,0,12.65
2023-01-20,7:0,24.6,25.5,0,1.5,89.8,2.4,0.3,99.9,904,39.6,0.14,180.4,24.6,24.6,7,12.66
2023-01-20,8:0,27.8,26.5,0,1.4,113.3,3.1,0.3,89.6,904,238.2,0.86,161,25.9,26.3,38.9,12.78
2023-01-20,9:0,29.9,28,0,2,128,3.9,0.3,76.3,904,456.3,1.64,154.5,25.3,26.3,47.9,13.1
2023-01-20,10:0,31.1,28.1,0,2.5,124.8,4.9,0.3,71,904,565.5,2.04,153.7,25.2,26.6,29.8,13.3
2023-01-20,11:0,32.7,28,0,3.1,95,5.6,0.3,63.3,904,662.9,2.39,153.1,24.8,26.6,25.8,13.43
2023-01-20,12:0,33.8,28,0,3.3,98.9,6.1,0.5,57.2,904,,,152.8,24.1,26.5,22.7,13.41
2023-01-20,13:0,35.1,28,0,3.3,106.5,6.8,1.1,51.2,903,,,152.8,23.5,26.4,36.6,13.33
2023-01-20,14:0,36,27.9,0,3.4,78.94,6.9,1.1,47.8,902,,,152.5,23.2,26.4,32.4,13.4
2023-01-20,15:0,37,28,0,3.1,105.2,6.6,0.6,44.8,900,943,3.39,152.6,23.1,26.5,53.7,14.09
2023-01-20,16:0,36.7,28,0,3.3,112.2,6.2,0.3,44.9,899,520.4,1.87,152.2,22.8,26.3,25.7,13.74
2023-01-20,17:0,34.2,27.8,0,6.6,119.4,11.1,3,54.8,899,296.3,1.07,152.1,23.7,26.3,11.9,13.47
2023-01-20,18:0,33.1,27.6,0,7.2,87.7,11.1,3.9,55.3,899,121.8,0.44,152.3,22.9,25.5,3.1,13.09
2023-01-20,19:0,32.2,27,0,4.6,88.4,7.7,1.9,60.7,900,49.3,0.18,152.5,23.7,25.8,3,12.98
2023-01-20,20:0,30.6,27.1,0,3.9,60.34,6.8,2.4,66.6,901,0.9,0,152.7,23.6,25.3,0,12.93
2023-01-20,21:0,28.7,27,0,3,55.49,5.1,1.6,79.6,902,0,0,153.5,24.9,25.8,0,12.9
2023-01-20,22:0,28,26.9,0,2.3,88.8,3.6,1.2,85.3,902,0,0,154,25.4,26,0,12.86
2023-01-20,23:0,27.6,27.1,0,2.9,93,4.7,1.6,88.3,903,0,0,154.6,25.5,25.9,0,12.84
2023-01-20,24:0,26.9,27.3,0,2.3,65.49,3.6,1.4,90.2,903,0,0,155.3,25.2,25.6,0,12.82
