Date,Hour,AirTemp.,SurfaceTemp.,Rain,WindSpeed,WindDirect.,WindSpeed(max),WindSpeed(min),Humidity,Barom.Press.,"Solar radiation",SolarradiationEnergy,LeafWetness,DewPoint,WetBulb,"Sun Hours",BatteryVoltage
2023-01-07,1:0,25.9,21.2,0,1.8,344.1,3.7,0.3,90.1,905,0,0,156.3,24.2,24.6,0,12.75
2023-01-07,2:0,25.3,21.2,0,1.3,335.2,3,0.3,93.9,905,0,0,157.9,24.2,24.5,0,12.73
2023-01-07,3:0,24.6,21.2,0,0.8,231.8,2.4,0.3,99.1,905,0,0,165.2,24.5,24.5,0,12.7
2023-01-07,4:0,24.1,21.2,0,1.7,208.1,2.9,0.3,99.9,,0,0,179.3,24.1,24.1,0,12.67
2023-01-07,5:0,24,21.2,0,0.9,227.2,2.3,0.3,99.9,905,0,0,195.3,24,24,0,12.64
2023-01-07,6:0,23.6,21.2,0,0.8,267.9,2,0.3,99.9,905,0,0,210,23.6,23.6,0,12.61
2023-01-07,7:0,23.6,21.3,0,0.9,208.9,2.2,0.3,99.9,906,68.5,0.25,222.3,23.6,23.6,21.4,12.6
2023-01-07,8:0,26.6,0,0,1.3,198,2.4,,89.8,907,292,1.05,209.5,24.8,25.2,60,12.65
2023-01-07,9:0,30.1,21.2,0,2.3,192.2,4,0.3,73.1,907,548.5,1.97,157.6,24.7,26,60,12.99
2023-01-07,10:0,32.2,21.4,0,2.2,185,3.9,0.3,62.8,907,773.7,2.79,153.8,24.2,26.2,60,13.29
2023-01-07,11:0,35,21.6,0,2.4,141.9,6,0.3,44.3,907,938,3.38,153.1,20.8,24.7,60,13.42
2023-01-07,12:0,36.9,21.2,0,3,78.05,6.2,0.3,32.1,907,1062,3.82,152.7,17.5,23.2,60,13.19
2023-01-07,13:0,37.7,21,0,3,81.9,7,0.6,29.5,906,1025,3.69,152.4,16.9,23.1,54.6,13.02
2023-01-07,14:0,38.4,21,0,2.6,126.3,6.5,0.3,26.6,905,1034,3.72,152.2,15.9,22.8,53.5,13.11
2023-01-07,15:0,39,21.3,0,2.5,183.4,6.2,0.3,23.7,904,999,3.6,152.2,14.6,22.3,59.3,13.86
2023-01-07,16:0,39.5,21.3,0,2.9,172.6,7.7,0.3,20.5,903,782.5,2.82,151.7,12.8,21.6,59,13.98
2023-01-07,17:0,39.7,21.2,0,2.6,166.9,6.1,0.3,18.3,902,546.3,1.97,151.4,11.1,20.9,56,13.45
2023-01-07,18:0,39.5,21.4,0,2.9,189,6.7,0.4,15.8,902,371.6,1.34,151.1,8.8,20,56.3,13.15
2023-01-07,19:0,37.6,21.3,0,3.1,132.5,5.7,1.1,17.7,903,116.7,0.42,151.1,8,19.3,46,13
2023-01-07,20:0,33.8,21.3,0,2.2,44.31,3.2,1.5,36.5,903,0.8,0,152,16.8,22,0,12.95
2023-01-07,21:0,31.4,21.2,0,1.6,43.88,2.5,0.8,44.4,904,0,0,152.7,17.8,21.9,0,12.91
2023-01-07,22:0,29.9,21.2,0,2.8,63.53,4.4,1.9,52.4,904,0,0,153.1,19.1,22.2,0,12.88
2023-01-07,23:0,28.9,21.4,0,2.8,68.71,4,1.9,60.1,905,0,0,153.2,20.3,22.7,0,12.84
2023-01-07,24:0,27.8,21.4,0,2.5,65.14,3.7,1.6,65.3,905,0,0,153.6,20.7,22.7,0,12.81
