Date,Hour,AirTemp.,SurfaceTemp.,Rain,WindSpeed,WindDirect.,WindSpeed(max),WindSpeed(min),Humidity,Barom.Press.,"Solar radiation",SolarradiationEnergy,LeafWetness,DewPoint,WetBulb,"Sun Hours",BatteryVoltage
2023-02-13,1:0,26.7,21.3,0,0.7,301.8,1.4,0.3,86.5,903,0,0,173.7,24.2,24.8,0,12.82
2023-02-13,2:0,25.5,21.3,0,1.1,146.7,4.1,0.3,91.9,903,0,0,186.6,24.1,24.4,0,12.79
2023-02-13,3:0,24.9,21.3,0,1.6,136.9,2.4,0.5,81.4,903,0,0,197.6,21.5,22.4,0,12.77
2023-02-13,4:0,24.8,21.3,0,1,107.1,2.8,0.3,75.9,902,0,0,204.3,20.3,21.6,0,12.74
2023-02-13,5:0,25,21.3,0,2.6,287.1,3.9,1.5,73.1,903,0,0,195.4,19.9,21.4,0,12.71
2023-02-13,6:0,23.9,21.3,0,1.5,263.5,2.9,0.3,79.4,903,0,0,181.3,20.1,21.2,0,12.69
2023-02-13,7:0,23,21.6,0,0.9,240.6,1.9,0.3,88.8,904,14.7,0.05,184.8,21,21.6,0.6,12.66
2023-02-13,8:0,27.7,21.4,0,0.6,254.4,2,0.3,69.8,904,147.6,0.53,161.9,21.6,23.3,26.7,12.79
2023-02-13,9:0,30.8,21.1,0,1.3,232.9,2.7,0.3,58.3,905,251.9,0.91,155.1,21.6,24.1,0.5,13.1
2023-02-13,10:0,33.4,21,0,1.4,260.6,2.6,0.3,44.6,905,549.8,1.98,153.6,19.7,23.5,48.3,13.38
2023-02-13,11:0,35.3,21,0,1.4,264.6,3,0.3,40.3,905,861,3.1,153,19.8,24.1,60,13.61
2023-02-13,12:0,37,20.9,0,1.4,138.9,3.2,0.3,36.6,904,1033,3.72,153,19.7,24.5,60,13.6
2023-02-13,13:0,38,21,0,2.2,165.6,4.4,0.3,33.8,904,1085,3.91,152.7,19.3,24.5,60,13.16
2023-02-13,14:0,38.9,21,0,2.5,209.8,5.8,0.4,30.9,903,1074,3.87,152.5,18.6,24.4,60,13.18
2023-02-13,15:0,39.2,21,0,3.6,198.6,6.5,1.1,29.9,902,895,3.22,152.3,18.4,24.3,44.7,14
2023-02-13,16:0,39.5,21,0,2.5,211.3,5.6,0.3,28.7,902,789.5,2.84,152.2,17.9,24.1,54.3,14.03
2023-02-13,17:0,39.4,20.9,0,3.2,199.6,6.3,0.6,28,901,607.2,2.19,151.9,17.5,23.9,60,13.35
2023-02-13,18:0,38.7,21,0,3.3,190.3,5.7,1.4,28.4,901,363.1,1.31,151.8,17.1,23.5,60,13.31
2023-02-13,19:0,37.1,21.1,0,3.7,158.9,9.1,1,34.2,901,122.3,0.44,151.9,18.5,23.8,37.2,13.06
2023-02-13,20:0,33.3,21.2,0,2.5,107.4,5.9,0.3,49.4,902,0.7,0,152.7,21.2,24.4,0,12.97
2023-02-13,21:0,32.4,21.2,0,1.4,146.9,3.2,0.3,52.4,903,0,0,153.5,21.5,24.4,0,12.94
2023-02-13,22:0,31.8,21.6,0,1.6,140.7,3.2,0.3,52.7,903,0,0,154,21,23.9,0,12.91
2023-02-13,23:0,30.9,22.2,0,1.4,107.1,2.4,0.8,57.6,903,0,0,154.5,21.6,24.1,0,12.88
2023-02-13,24:0,30.4,22.8,0,1.1,11.8,1.6,0.3,60.6,904,0,0,154.9,22,24.2,0,12.86
