Date,Hour,AirTemp.,SurfaceTemp.,Rain,WindSpeed,WindDirect.,WindSpeed(max),WindSpeed(min),Humidity,Barom.Press.,"Solar radiation",SolarradiationEnergy,LeafWetness,DewPoint,WetBulb,"Sun Hours",BatteryVoltage
2023-02-07,1:0,27.1,22.6,0,0.5,240,1.5,0.3,99.9,903,0,0,246.3,27,27,0,12.77
2023-02-07,2:0,26.7,22.5,0,0.9,221.6,2.1,0.3,99.9,903,0,0,248.3,26.7,26.7,0,12.74
2023-02-07,3:0,26.4,22.9,0,1.1,201.1,2.1,0.3,99.9,902,0,0,245,26.4,26.4,0,12.72
2023-02-07,4:0,26,22.8,0,1.3,200,2.4,0.3,99.9,902,0,0,239.8,26,26,0,12.7
2023-02-07,5:0,25.7,22.9,0,0.9,220.8,1.7,0.3,99.9,902,0,0,233.8,25.7,25.7,0,12.66
2023-02-07,6:0,25.2,23.2,0,1,212.1,2.4,0.3,99.9,902,0,0,228.9,25.2,25.2,0,12.63
2023-02-07,7:0,24.9,24,0,0.8,165.6,1.8,0.3,99.9,903,23.1,0.08,220.9,24.9,24.9,0.2,12.63
2023-02-07,8:0,26.3,23.8,0,0.7,210.2,2.1,0.3,99.8,903,150.3,0.54,203.9,26.3,26.3,17.9,12.69
2023-02-07,9:0,29.4,23.2,0,0.4,101.1,1.3,0.3,87,904,436.8,1.57,171.6,27,27.6,60,13.08
2023-02-07,10:0,31.3,22.4,0,1.2,45.39,3.5,0.3,75.4,904,680.3,2.45,155.4,26.4,27.5,60,13.34
2023-02-07,11:0,32.9,22.2,0,2,8.48,5.5,0.3,68.5,904,817,2.94,154.2,26.3,27.8,53.7,13.51
2023-02-07,12:0,34.7,22.8,0,3.4,22.99,6.3,0.8,55.7,903,923,3.32,153.8,24.5,26.9,47.6,13.6
2023-02-07,13:0,35.6,23,0,2.9,24.65,5.5,0.3,49.5,903,951,3.42,153.4,23.4,26.4,45,13.42
2023-02-07,14:0,36.1,23.1,0,3.5,11.23,6.9,0.6,47,902,900,3.24,153.2,23,26.3,43,13.68
2023-02-07,15:0,36.3,22.9,0,3.4,40.65,6.5,1.1,45.8,901,708.1,2.55,153,22.7,26.1,31.9,13.99
2023-02-07,16:0,36.8,22.4,0,3.2,53.08,6.6,1.4,43.7,900,665.4,2.4,152.9,22.4,26.1,41.3,14.05
2023-02-07,17:0,36.4,22.2,0,3.5,39.04,6.6,1.6,43.8,900,423.2,1.52,152.8,22.1,25.8,24.7,13.54
2023-02-07,18:0,35.8,21.9,0,3.1,34.91,5.5,1.2,44.4,899,243.2,0.88,153,21.8,25.4,32.2,13.26
2023-02-07,19:0,34.5,21.8,0,1.9,13.44,3.8,1,50.8,899,54.1,0.19,153.7,22.8,25.8,0,13.03
2023-02-07,20:0,32.6,21.9,0,1.2,1.023,1.9,0.6,62,900,0.2,0,157.8,24.4,26.4,0,12.97
2023-02-07,21:0,31.3,21.5,0,0.8,321.3,2.2,0.3,70,901,0,0,166,25.1,26.6,0,12.92
2023-02-07,22:0,30.7,21.3,0,1.8,278.1,2.9,1.2,73.5,902,0,0,166,25.4,26.6,0,12.89
2023-02-07,23:0,30.2,21.2,0,2.3,261.4,5.8,1,74.5,903,0,0,157.4,25.2,26.4,0,12.86
2023-02-07,24:0,28.7,21.2,0,4.2,223,8.3,1.7,79.8,904,0,0,155.9,24.9,25.8,0,12.83
