Date,Hour,AirTemp.,SurfaceTemp.,Rain,WindSpeed,WindDirect.,WindSpeed(max),WindSpeed(min),Humidity,Barom.Press.,"Solar radiation",SolarradiationEnergy,LeafWetness,DewPoint,WetBulb,"Sun Hours",BatteryVoltage
2023-01-10,1:0,28,27.6,0,2,117.7,3.2,1.1,68.5,908,0,0,153.3,21.7,23.4,0,12.81
2023-01-10,2:0,27.6,27.9,0,2.7,102.4,3.8,1.8,70.7,908,0,0,153.6,21.8,23.4,0,12.79
2023-01-10,3:0,26.8,27.9,0,2.5,90.4,3.8,1.8,75,907,0,0,153.9,22,23.3,0,12.77
2023-01-10,4:0,26.1,27.8,0,2.4,88.9,3.4,1.7,80.2,907,0,0,154,22.4,23.4,0,12.75
2023-01-10,5:0,25,27.4,0,2,88.9,3,1.1,86.1,907,0,0,154.6,22.6,23.2,0,12.73
2023-01-10,6:0,24,27.3,0,1.6,79.13,2.5,1,92.8,908,0,0,155.5,22.7,23.1,0,12.7
2023-01-10,7:0,24.1,27,0,1.4,84.4,2.5,0.6,93.9,908,54.6,0.2,156.6,23.1,23.3,16.7,12.69
2023-01-10,8:0,27.9,27.7,0,2.7,72.47,4.5,1.5,81.4,909,290,1.04,155,24.5,25.3,60,12.73
2023-01-10,9:0,30.9,28.1,0,4.1,76.98,6.9,2.2,69.3,909,543.9,1.96,153.9,24.7,26.2,60,13.07
2023-01-10,10:0,33.3,28.1,0,5.3,94.1,9.4,2.3,57.8,909,769.5,2.77,153.1,23.9,26.2,60,13.35
2023-01-10,11:0,34.4,28.1,0,5.5,88.6,9.7,2.7,53.6,909,839,3.02,152.7,23.6,26.2,41.9,13.59
2023-01-10,12:0,34.9,28,0,5.5,83.9,9.1,2.4,50.6,909,,,152.5,23.1,26.1,29.6,13.47
2023-01-10,13:0,35.4,28,0,5.2,94.7,8.7,2.2,48.4,908,,,152.3,22.8,26,17.5,13.45
2023-01-10,14:0,36.3,28,0,5.5,97.3,9.3,1.7,45.4,907,,,152.3,22.6,26,24,13.66
2023-01-10,15:0,36.9,28,0,6.2,88,10.6,2.9,41.8,906,727.9,2.62,152.2,21.8,25.7,30,14.1
2023-01-10,16:0,36.4,28,0,5,97,9.9,1.7,45.2,905,617.3,2.22,163.4,22.5,26,31.4,13.92
2023-01-10,17:0,34.4,28,0,5.1,72.52,9.6,1.8,54.9,905,351.2,1.26,153.4,24,26.5,17.6,13.46
2023-01-10,18:0,34.4,28.1,0,5.6,52.98,9.3,2.5,54.4,905,297.1,1.07,152.7,23.8,26.4,25.9,13.3
2023-01-10,19:0,32.3,28.1,0,4.3,49.41,8.6,1.8,62.6,906,91,0.33,153,24.3,26.2,20,13.01
2023-01-10,20:0,30.9,28,0,3.5,57.96,5.3,1.8,67.3,907,1,0,153,24.2,25.8,0,12.94
2023-01-10,21:0,29.7,28.1,0,2.7,67.05,4.9,1.3,74.7,908,0,0,156.3,24.7,25.9,0,12.92
2023-01-10,22:0,29,28,0,2.4,77.14,3.5,1.3,78.3,908,0,0,154.1,24.8,25.8,0,12.9
2023-01-10,23:0,29,28,0,2.4,77.14,3.5,1.3,78.3,908,0,0,154.1,24.8,25.8,0,12.9
2023-01-10,24:0,28.2,28.2,0,2.5,73.72,3.9,1.1,76.6,909,0,0,153.8,23.7,24.8,0,12.85
