Date,Hour,AirTemp.,SurfaceTemp.,Rain,WindSpeed,WindDirect.,WindSpeed(max),WindSpeed(min),Humidity,Barom.Press.,"Solar radiation",SolarradiationEnergy,LeafWetness,DewPoint,WetBulb,"Sun Hours",BatteryVoltage
2023-01-28,1:0,27.2,28.2,0,1.8,40.68,2.3,1,66.4,903,0,0,152.4,20.4,22.3,0,12.82
2023-01-28,2:0,27.1,28.3,0,1.8,15.9,2.7,0.9,69.1,903,0,0,152.8,20.9,22.6,0,12.81
2023-01-28,3:0,27.4,28.3,0,1.1,353.2,2,0.3,69.9,903,0,0,152.8,21.4,23,0,12.79
2023-01-28,4:0,26.2,28.3,0,0.5,352.3,1.6,0.3,75.7,903,0,0,152.9,21.6,22.8,0,12.77
2023-01-28,5:0,24.7,28.3,0,0.3,316.8,0.4,0.3,83,903,0,0,153.1,21.7,22.5,0,12.73
2023-01-28,6:0,24,28.3,0,0.3,210.5,0.3,0.3,84.4,903,0,0,153.4,21.2,22,0,12.69
2023-01-28,7:0,24,28.3,0,0.4,84.5,1.6,0.3,84.2,904,33.3,0.12,153.7,21.2,21.9,10.7,12.68
2023-01-28,8:0,27.8,28.3,0,0.7,277.1,2.2,0.3,74.8,904,237,0.85,153.8,22.9,24.2,60,12.73
2023-01-28,9:0,31,28.1,0,2.5,4.946,5.1,0.4,68.5,905,492.7,1.77,153.2,24.5,26.1,60,13.1
2023-01-28,10:0,32.9,28.1,0,2.5,20.71,4.7,0.4,61.4,905,713,2.57,152.8,24.5,26.5,60,13.37
2023-01-28,11:0,34.8,28,0,3.3,49.31,7.2,0.9,52.4,904,818,2.94,152.4,23.5,26.3,52.9,13.53
2023-01-28,12:0,36.9,28,0,4.5,75.97,8.2,1.4,41,904,994,3.58,152.3,21.5,25.5,52.8,13.59
2023-01-28,13:0,37.8,28,0,4.3,73.58,8.2,1.5,39.5,903,902,3.25,152.1,21.6,25.8,39.7,13.37
2023-01-28,14:0,38.6,28,0,4.8,81.5,10,0.6,35.5,902,992,3.57,152,20.6,25.4,48.3,13.42
2023-01-28,15:0,39.4,28,0,4.4,82.8,8.9,0.7,30.8,901,902,3.25,151.8,19.1,24.7,49.5,14.01
2023-01-28,16:0,39.8,28,0,4,91.6,8.2,1.4,29.2,900,725.4,2.61,151.6,18.6,24.5,54.8,14.03
2023-01-28,17:0,40.2,28,0,3.3,96.9,6.8,0.3,27.4,899,609.7,2.19,151.6,17.8,24.2,56.6,13.42
2023-01-28,18:0,40,28,0,3.5,105.5,6.7,1.5,25.5,899,365.3,1.32,151.3,16.5,23.5,59,13.24
2023-01-28,19:0,38.5,28,0,5,84.8,8,2.5,27.9,899,124.1,0.45,151.2,16.7,23.2,54.8,13.05
2023-01-28,20:0,35.8,28.1,0,5.2,61.06,13.1,1.9,37.2,900,6.8,0.02,151.3,18.5,23.5,2.6,12.99
2023-01-28,21:0,30,28.1,0,6.9,23.8,11.1,3.3,65,901,0,0,152.1,22.6,24.5,0,12.95
2023-01-28,22:0,28.9,28.2,0,4.4,13.01,7.3,2.4,69.7,902,0,0,152.6,22.9,24.4,0,12.92
2023-01-28,23:0,28.4,28.2,0,3.4,5.267,6.5,1.4,71.8,902,0,0,152.8,22.9,24.3,0,12.89
2023-01-28,24:0,28,28.2,0,2.4,6.814,4.3,0.5,74.9,902,0,0,152.8,23.1,24.4,0,12.86
