Date,Hour,AirTemp.,SurfaceTemp.,Rain,WindSpeed,WindDirect.,WindSpeed(max),WindSpeed(min),Humidity,Barom.Press.,"Solar radiation",SolarradiationEnergy,LeafWetness,DewPoint,WetBulb,"Sun Hours",BatteryVoltage
2023-01-15,1:0,28.6,28.2,0,1.4,35.2,2.3,0.3,68.3,906,0,0,153.2,22.2,23.9,0,12.82
2023-01-15,2:0,28.3,28.2,0,1.1,55.23,2.1,0.3,69.8,905,0,0,153.6,22.3,23.9,0,12.8
2023-01-15,3:0,28,28.2,0,1,82.1,2.3,0.3,71.7,905,0,0,153.5,22.4,23.9,0,12.78
2023-01-15,4:0,27.6,28.2,0,0.4,202.2,1.3,0.3,75.2,905,0,0,153.5,22.8,24,0,12.74
2023-01-15,5:0,27.4,28.2,0,0.3,60.07,0.5,0.3,76.1,905,0,0,153.5,22.8,24,0,12.73
2023-01-15,6:0,27.2,28.2,0,1.5,126.7,3,0.3,77.7,906,0,0,153.8,23,24.1,0,12.69
2023-01-15,7:0,27.2,28.2,0,2,128.8,4.1,0.3,78.2,907,15.2,0.05,153.7,23.1,24.1,0,12.68
2023-01-15,8:0,27.8,28.2,0,1.1,102.3,2.3,0.3,76.7,907,66.7,0.24,153.7,23.3,24.4,0,12.72
2023-01-15,9:0,30.8,28.2,0,3.8,68.43,6.8,1.4,66.2,907,498.3,1.79,153.2,23.7,25.4,41.7,13.17
2023-01-15,10:0,32.9,28.1,0,4.9,79.59,8.1,2.3,57.5,907,655.5,2.36,152.7,23.4,25.8,45.7,13.34
2023-01-15,11:0,34.1,28.1,0,4.7,86.1,9.3,2,53.1,907,787.1,2.83,152.5,23.2,25.9,36.8,13.53
2023-01-15,12:0,35.3,28,0,5.8,75.34,9.7,2.7,46.8,906,,,152.2,22.2,25.5,37.9,13.56
2023-01-15,13:0,37.1,28,0,4.9,86.9,8.7,2,41,905,1034,3.72,152.3,21.7,25.7,50.6,13.3
2023-01-15,14:0,37.8,28,0,5.2,93.3,9.8,2,37.6,904,853,3.07,151.9,20.8,25.3,37.7,13.36
2023-01-15,15:0,36.9,28,0,4.9,110.3,9.1,1.5,39.7,903,585.8,2.11,151.7,21,25.2,16.5,13.95
2023-01-15,16:0,36.3,28,0,4.3,66.36,7.3,1.7,41.9,903,354.1,1.27,151.6,21.3,25.2,7.2,13.83
2023-01-15,17:0,36.2,28.1,0,4.1,62.84,6.7,2.3,42.2,902,322.9,1.16,151.6,21.3,25.2,5.6,13.74
2023-01-15,18:0,35.3,28.1,0,3.9,49.3,6.4,2,44.6,902,158.5,0.57,151.6,21.4,25.1,0,13.19
2023-01-15,19:0,34.8,28.1,0,2.7,58.21,4.8,1.4,46.3,903,40.6,0.15,151.8,21.6,25.1,0,13.01
2023-01-15,20:0,33.7,28.1,0,1.9,77.22,3.2,1.1,49.4,903,0.7,0,151.9,21.6,24.8,0,12.95
2023-01-15,21:0,32.1,28.1,0,1.5,107.1,4.5,0.3,53.2,904,0,0,152,21.3,24.2,0,12.92
2023-01-15,22:0,31.1,28.2,0,5.9,50.46,10.8,2.3,64.7,905,0,0,152.5,23.5,25.4,0,12.9
2023-01-15,23:0,29.3,28.2,0,3.6,33.5,7.8,1.6,71.3,906,0,0,153.1,23.6,25,0,12.87
2023-01-15,24:0,29,28.2,0,2.3,14.26,3.7,1.2,72.7,906,0,0,152.9,23.6,25,0,12.85
