Date,Hour,AirTemp.,SurfaceTemp.,Rain,WindSpeed,WindDirect.,WindSpeed(max),WindSpeed(min),Humidity,Barom.Press.,"Solar radiation",SolarradiationEnergy,LeafWetness,DewPoint,WetBulb,"Sun Hours",BatteryVoltage
2023-01-08,1:0,27,21.6,0,2.6,75.19,4,1.6,69.1,905,0,0,153.8,20.9,22.6,0,12.79
2023-01-08,2:0,26.3,21.9,0,2.5,90.3,4,1.3,72.7,905,0,0,154,21,22.5,0,12.76
2023-01-08,3:0,25.9,22.4,0,3.2,99.7,6.4,1.9,77.5,905,0,0,154.1,21.7,22.8,0,12.74
2023-01-08,4:0,26,22.5,0,4.6,97.4,7.8,2.5,83.4,905,0,0,154.7,22.9,23.7,0,12.72
2023-01-08,5:0,25.3,22.7,0,4.4,97.6,6.6,2.5,89.4,905,0,0,155.3,23.5,23.9,0,12.7
2023-01-08,6:0,24.7,22.4,0,4.3,92,7.6,2.3,94.6,905,0.1,0,156.2,23.8,24,0,12.68
2023-01-08,7:0,24.5,21.8,0,3.5,86.8,5.7,2.1,96.5,906,61.8,0.22,157.8,23.9,24,20.6,12.68
2023-01-08,8:0,26.3,22.8,0,5.4,85.3,8.7,3,84.2,907,281.1,1.01,155.3,23.4,24.2,55.5,12.74
2023-01-08,9:0,28.3,24.4,0,5.5,77.61,8.2,2.6,73.4,907,542.8,1.95,154.2,23,24.4,59.8,13.08
2023-01-08,10:0,30.4,25.5,0,4.8,80.3,7.6,2.3,64.5,907,765.7,2.76,153.2,22.9,24.9,60,13.36
2023-01-08,11:0,32.4,26.4,0,4.8,83.3,8.4,2.5,55.7,907,942,3.39,152.7,22.4,25,60,13.65
2023-01-08,12:0,34.5,26.1,0,5,93.1,8.7,2.2,44.3,907,1049,3.78,152.6,20.5,24.3,60,13.34
2023-01-08,13:0,35.8,25.6,0,5,88.1,8.6,1.8,38.3,906,1017,3.66,152.4,19.3,23.9,55.1,13.07
2023-01-08,14:0,36.5,25.5,0,4.6,103.2,8.9,1.4,34.9,906,1043,3.75,152.1,18.5,23.6,56.6,13.15
2023-01-08,15:0,37.2,25.9,0,5.1,114.9,8.5,2,30.9,905,903,3.25,151.9,17.2,23.1,52.3,14.01
2023-01-08,16:0,36.7,25.7,0,4.8,140.1,9.5,1.7,31.9,904,630.3,2.27,151.6,17.3,23,45,13.38
2023-01-08,17:0,37.2,25.4,0,4.2,127.8,8.6,1.9,29.6,903,558.2,2.01,151.6,16.5,22.7,49.3,13.4
2023-01-08,18:0,36.9,25.5,0,4.5,117.9,8.4,1.7,32.2,903,401.9,1.45,151.5,17.6,23.2,58.7,13.23
2023-01-08,19:0,35.2,26.2,0,4.2,96.5,7.4,2.3,37.4,904,114.3,0.41,151.6,18.5,23.3,34.4,13
2023-01-08,20:0,32.4,25.1,0,2.8,88.9,5.4,1.8,42.1,905,1,0,151.8,17.8,22.2,0,12.94
2023-01-08,21:0,30.3,25.2,0,2.2,106.8,3.7,1.2,46.2,906,0,0,152.1,17.5,21.4,0,12.9
2023-01-08,22:0,29.4,24.3,0,3.2,89.9,4.7,1.8,52.7,907,0,0,152.1,18.7,21.9,0,12.87
2023-01-08,23:0,28.4,24.8,0,4.1,85.6,5.3,3,65.7,907,0,0,152.6,21.4,23.3,0,12.84
2023-01-08,24:0,27.5,25.2,0,4.8,77.06,7.5,3.1,73.5,907,0,0,153.2,22.4,23.7,0,12.81
