Date,Hour,AirTemp.,SurfaceTemp.,Rain,WindSpeed,WindDirect.,WindSpeed(max),WindSpeed(min),Humidity,Barom.Press.,"Solar radiation",SolarradiationEnergy,LeafWetness,DewPoint,WetBulb,"Sun Hours",BatteryVoltage
2023-01-13,1:0,28.2,28.2,0,3.5,109.7,5.4,2.2,34.8,905,0,0,151.1,11.3,17.5,0,12.8
2023-01-13,2:0,28.5,28.2,0,4.2,101.4,6.6,1.7,35.4,905,0,0,151.1,11.7,17.8,0,12.78
2023-01-13,3:0,26.6,28.2,0,2.6,100.2,4.2,1.5,42,905,0,0,151.2,12.6,17.6,0,12.76
2023-01-13,4:0,25.2,28.3,0,2.8,87.4,4.4,1.6,46.8,905,0,0,151.5,13,17.3,0,12.74
2023-01-13,5:0,23.8,28.3,0,2.1,96.2,3.6,1.3,51.4,905,0,0,151.7,13.2,17,0,12.71
2023-01-13,6:0,23,28.3,0,2,89.1,2.8,1.4,56,905,0,0,151.8,13.7,17,0,12.68
2023-01-13,7:0,23.2,28.3,0,1.2,129.4,2.4,0.3,58.3,906,46.7,0.17,152,14.6,17.6,14.1,12.67
2023-01-13,8:0,26.8,28.3,0,3.1,100.9,4.7,1.2,53.1,907,273.1,0.98,152.1,16.5,19.8,60,12.72
2023-01-13,9:0,30.4,28.2,0,3.5,85.3,6.4,1.5,54.8,907,514.5,1.85,152.1,20.3,23.1,60,13.07
2023-01-13,10:0,31.8,28.1,0,3.3,55.27,5.4,0.6,56.4,907,739.8,2.66,152.1,22.1,24.6,59.7,13.37
2023-01-13,11:0,33.6,28.1,0,3.9,39,6.6,0.5,50.8,907,795.2,2.86,152.1,21.9,25,43.4,13.5
2023-01-13,12:0,35.4,28.1,0,4.8,46.56,9,1.8,43.7,906,973,3.5,152,21.1,24.9,50.1,13.43
2023-01-13,13:0,36.4,28,0,3.9,42.11,9,1,37.3,906,940,3.38,151.9,19.5,24.2,47.2,13.29
2023-01-13,14:0,36.9,28,0,3.6,59.23,9.1,0.8,34,905,814,2.93,151.6,18.4,23.7,39.3,13.38
2023-01-13,15:0,37.7,28,0,3.5,62.39,7,0.3,31.6,904,705.8,2.54,151.5,18,23.7,36.1,13.84
2023-01-13,16:0,37.8,28,0,3.3,83.2,8,1,28.7,903,520.8,1.87,151.3,16.5,22.9,30.4,13.72
2023-01-13,17:0,38.2,28,0,3.5,91.3,6,1,27.8,902,573.2,2.06,151.3,16.4,22.9,54.6,14
2023-01-13,18:0,37.9,28,0,3.6,106,6.4,1.3,27.9,902,310,1.12,151,16.1,22.7,51.3,13.16
2023-01-13,19:0,36.5,28.1,0,3.6,98.7,6.1,1.6,29.1,903,112.7,0.41,151.1,15.7,22.1,43,13.02
2023-01-13,20:0,33.7,28.1,0,2.7,95.5,4.4,1.4,33.2,904,0.9,0,151.1,15.2,21.1,0,12.96
2023-01-13,21:0,31,28.1,0,2.5,96.9,4,1.5,38.9,904,0,0,151.1,15.4,20.4,0,12.92
2023-01-13,22:0,29.4,28.2,0,2.1,82.3,3,1.5,43.8,905,0,0,151.3,15.8,20.2,0,12.89
2023-01-13,23:0,28.5,28.2,0,1.5,96.5,2.4,0.3,45.7,905,0,0,151.4,15.6,19.8,0,12.85
2023-01-13,24:0,27.4,28.2,0,2.4,101.6,4.2,1.7,46.3,906,0,0,151.4,14.9,19.1,0,12.82
