Date,Hour,AirTemp.,SurfaceTemp.,Rain,WindSpeed,WindDirect.,WindSpeed(max),WindSpeed(min),Humidity,Barom.Press.,"Solar radiation",SolarradiationEnergy,LeafWetness,DewPoint,WetBulb,"Sun Hours",BatteryVoltage
2023-01-14,1:0,28.5,28.2,0,3.4,98.5,7.2,1.7,42.5,906,0,0,151.6,14.5,19.2,0,12.81
2023-01-14,2:0,27,28.2,0,2.4,80.8,3.8,1.1,50.5,906,0,0,151.6,15.9,19.5,0,12.79
2023-01-14,3:0,26.6,28.2,0,2.2,53.38,3.5,0.8,59.1,906,0,0,152,18,20.6,0,12.77
2023-01-14,4:0,26.1,28.2,0,1.7,28.09,3.2,0.3,68.2,905,0,0,152.2,19.8,21.6,0,12.75
2023-01-14,5:0,25.2,28.3,0,1.3,12.81,2.1,0.3,73.5,906,0,0,152.5,20.2,21.6,0,12.73
2023-01-14,6:0,24.3,28.3,0,1.1,17.7,1.7,0.3,78.1,906,0.1,0,152.8,20.3,21.4,0,12.7
2023-01-14,7:0,24.4,28.3,0,1.3,19.77,2.8,0.3,80,907,20.6,0.07,153,20.8,21.8,0,12.69
2023-01-14,8:0,26.3,28.3,0,1.6,29.82,3,0.4,74.7,907,203.8,0.73,153.1,21.4,22.7,21.2,12.86
2023-01-14,9:0,29.5,28.2,0,2.1,56.14,4.4,0.6,62.1,908,458.8,1.65,152.6,21.4,23.6,37.9,13.16
2023-01-14,10:0,32.4,28.1,0,3.4,31.29,7.6,0.3,48.7,908,719.1,2.59,152.1,20.3,23.6,55.9,13.41
2023-01-14,11:0,32.7,28.1,0,4.1,46.43,7.5,1.5,50.3,908,618.4,2.23,152,21.1,24.2,27.3,13.46
2023-01-14,12:0,34.7,28.1,0,3.6,56.96,6.9,0.5,45.9,907,,,152.1,21.4,24.9,55.5,13.78
2023-01-14,13:0,36.3,28,0,5.3,67.37,9.4,1.5,40.2,906,,,152,20.6,24.8,46.8,13.42
2023-01-14,14:0,36.4,28,0,5.1,58.69,9,1.2,39.5,906,,,151.6,20.4,24.7,38.8,13.41
2023-01-14,15:0,37.2,28,0,4.4,78.25,9.2,1,38.3,905,869,3.13,151.7,20.7,25.1,47.7,13.4
2023-01-14,16:0,36.7,28,0,5.3,101.9,10.1,2.2,39.2,904,695.6,2.5,151.6,20.5,24.9,39.6,13.39
2023-01-14,17:0,36.4,28,0,4.6,107,8.2,1.9,37.7,904,461.1,1.66,151.5,19.6,24.3,29.6,13.36
2023-01-14,18:0,35.4,28,0,5.4,98.3,11.2,2.3,40.5,904,208.7,0.75,151.4,19.9,24.2,6.3,13.23
2023-01-14,19:0,31.8,28.1,0,4,95.7,10.5,2.1,50.8,904,55,0.2,168.3,20.3,23.5,4.6,13.01
2023-01-14,20:0,31,28.1,0,2.1,86.8,3.6,1.3,51.6,904,5.2,0.02,152.5,19.9,23,3.5,12.94
2023-01-14,21:0,29.8,28.2,0,1.7,78.36,2.5,1,56.6,905,0,0,152.8,20.3,23,0,12.92
2023-01-14,22:0,29,28.2,0,1.8,53.48,2.7,1.2,63.1,906,0,0,152.8,21.2,23.3,0,12.88
2023-01-14,23:0,28,28.2,0,0.8,103.9,1.6,0.3,68.4,906,0,0,153.1,21.6,23.3,0,12.85
2023-01-14,24:0,28.4,28.2,0,0.7,54.74,1.8,0.3,68.9,906,0,0,153.1,22.2,23.8,0,12.84
