Date,Hour,AirTemp.,SurfaceTemp.,Rain,WindSpeed,WindDirect.,WindSpeed(max),WindSpeed(min),Humidity,Barom.Press.,"Solar radiation",SolarradiationEnergy,LeafWetness,DewPoint,WetBulb,"Sun Hours",BatteryVoltage
2023-01-04,1:0,25.1,21.9,0,3.8,30.07,6.7,1.6,99.9,906,0,0,234.9,25.1,25.1,0,12.65
2023-01-04,2:0,25.4,21.4,0,3.7,26.9,5.6,2.2,99.9,905,0.1,0,201,25.4,25.4,0,12.64
2023-01-04,3:0,25.5,21.3,0,3.1,17.67,5.5,1.8,99.9,905,0.1,0,193.1,25.5,25.5,0,12.62
2023-01-04,4:0,25.4,21.3,0,2.5,359.1,4.1,1.2,99.9,905,0,0,192.8,25.4,25.4,0,12.61
2023-01-04,5:0,25.3,21.3,0,3.3,341.2,6.9,0.5,98.7,905,0,0,189.9,25.1,25.1,0,12.59
2023-01-04,6:0,24.9,21.2,0,3.2,343.3,5.2,1.5,99.9,905,0.4,0,188,24.9,24.9,0,12.57
2023-01-04,7:0,25,21.2,0,2.7,343.9,4.8,1.3,99.9,905,56.4,0.2,186,25,25,7,12.61
2023-01-04,8:0,26,21.2,0,3.9,350,8.7,1.5,92.8,906,190.7,0.69,166,24.8,25.1,14.8,12.84
2023-01-04,9:0,26.7,21.2,0,4.7,343.8,7.8,2.2,88.3,907,310.5,1.12,156.1,24.7,25.2,11.9,13.06
2023-01-04,10:0,28.8,21.1,0,5,323,8.7,2.2,79.9,907,586.3,2.11,154.6,25,25.9,42.3,13.26
2023-01-04,11:0,30,21.2,0,4.6,320.9,8.2,1.7,75.5,907,532.9,1.92,154.2,25.2,26.3,18.8,13.3
2023-01-04,12:0,31.2,21,0,4.7,336.4,7.8,2.2,70.5,906,755.3,2.72,153.9,25.2,26.6,38.6,13.45
2023-01-04,13:0,32,21,0,5,349.8,7.9,2.4,66.6,905,608.1,2.19,153.7,25,26.7,17.3,13.38
2023-01-04,14:0,33.2,21,0,5.1,346.2,8.4,2.4,60.6,904,,,153.4,24.5,26.6,26.4,13.53
2023-01-04,15:0,33.1,21,0,5.5,350.5,9.1,2,59.4,903,498.8,1.8,153.3,24.2,26.3,18.7,13.72
2023-01-04,16:0,34.2,21,0,5.1,353.1,8.6,2.5,53.5,902,546.7,1.97,153.1,23.4,26.1,27.1,13.85
2023-01-04,17:0,34.1,21,0,3.5,307.2,6.1,1.4,51.2,902,206,0.74,153.1,22.5,25.5,2.7,13.18
2023-01-04,18:0,31.3,21.1,0,2.6,291.6,6.2,0.3,68.3,902,77.3,0.28,199.9,24.3,26.1,0,13.02
2023-01-04,19:0,29,21.2,0,3.4,8.9,5.9,0.3,79.9,902,21.6,0.08,199.9,25.1,26,0,12.94
2023-01-04,20:0,26.9,21.3,0,1.2,3.82,2.9,0.3,96.4,903,0.6,0,250.4,26.3,26.5,0,12.88
2023-01-04,21:0,26.9,21.4,0,2.7,43.64,4,1.8,86.8,903,0.2,0,217,24.5,25.1,0,12.85
2023-01-04,22:0,26.6,21.4,0,2.3,38.8,3.4,1,85.9,904,0,0,209.3,24,24.7,0,12.82
2023-01-04,23:0,26.1,21.3,0,1.8,36.25,3.7,0.3,91.3,905,0,0,205.2,24.6,25,0,12.8
2023-01-04,24:0,25.5,21.3,0,0.9,57.99,1.9,0.3,98.1,905,0,0,207.7,25.2,25.3,0,12.77
