Date,Hour,AirTemp.,SurfaceTemp.,Rain,WindSpeed,WindDirect.,WindSpeed(max),WindSpeed(min),Humidity,Barom.Press.,"Solar radiation",SolarradiationEnergy,LeafWetness,DewPoint,WetBulb,"Sun Hours",BatteryVoltage
2023-01-31,1:0,26.7,28.2,0,1.8,53.7,3.3,0.3,98.1,906,0,0,155.6,26.4,26.4,0,12.8
2023-01-31,2:0,26.9,28.2,0,2,36,4,0.3,95.1,906,0,0,155.5,26.1,26.2,0,12.78
2023-01-31,3:0,26.9,28.2,0,1.7,20.14,3,0.5,97.5,906,0,0,213.4,26.5,26.6,0,12.75
2023-01-31,4:0,26.4,28.2,0,1.7,329.7,4,0.3,99.9,906,0,0,236.2,26.4,26.4,0,12.71
2023-01-31,5:0,26.3,28.2,0,0.7,0.126,2.4,0.3,99.9,906,0.1,0,202.4,26.3,26.3,0,12.69
2023-01-31,6:0,25.8,28.2,0,0.7,54.39,1.8,0.3,99.9,906,0,0,197.7,25.8,25.8,0,12.67
2023-01-31,7:0,25.2,28.2,0,1.1,85.7,2,0.3,99.9,906,20.5,0.07,199.3,25.2,25.2,0,12.66
2023-01-31,8:0,26.7,28.2,0,2.3,84.5,4.5,0.7,97.9,907,182,0.66,181.8,26.3,26.4,24.9,12.78
2023-01-31,9:0,28.5,28.2,0,3.2,85.6,4.9,1.4,88.9,907,276.6,1,157.8,26.5,27,16.7,13.07
2023-01-31,10:0,31.5,28.1,0,2.8,60.35,5.5,0.9,70.8,907,577.3,2.08,154.1,25.5,26.9,37.2,13.36
2023-01-31,11:0,32.8,28.1,0,3.8,27.75,7.9,1.5,60.2,907,541.7,1.95,153.3,24.1,26.2,13.2,13.39
2023-01-31,12:0,33.6,28.1,0,3.4,13,6.2,1.2,59.2,907,470.9,1.7,153.1,24.5,26.7,11.2,13.36
2023-01-31,13:0,34.8,28.1,0,4.6,40.3,10.2,1.5,53.4,906,771.2,2.78,152.8,23.9,26.6,33,13.31
2023-01-31,14:0,32.2,28.1,0,5.7,87.2,12.1,2.6,59.7,905,426.3,1.53,153,23.3,25.5,12,13.36
2023-01-31,15:0,29.4,28.1,0,3.4,325.6,9.7,0.3,73.6,905,139.8,0.5,154.4,24.1,25.4,0,13.12
2023-01-31,16:0,29,28.1,0,2.5,302.2,4.1,0.9,78.9,904,153.1,0.55,154.3,25,25.9,0,13.09
2023-01-31,17:0,30.1,28.1,0,1.1,308.2,2.9,0.3,74.1,904,209.3,0.75,154.2,25,26.2,0,13.18
2023-01-31,18:0,31.2,28.1,0,0.9,297.8,7.1,0.3,68.8,904,139.6,0.5,153.6,24.8,26.4,0,13.09
2023-01-31,19:0,30.2,28.1,0,2.4,291.1,5.3,0.3,78.1,905,42.8,0.15,153.8,25.9,26.9,0,12.94
2023-01-31,20:0,29.6,28.2,0,2.4,303.2,5.7,0.3,76.8,906,0.4,0,154.1,25.1,26.2,0,12.88
2023-01-31,21:0,28.7,28.2,0,1.6,309.8,3.7,0.3,76.1,906,0,0,153.9,24.1,25.2,0,12.85
2023-01-31,22:0,28.2,28.2,0,1.6,260.3,3.2,0.3,80.3,907,0,0,154.2,24.4,25.4,0,12.81
2023-01-31,23:0,27.7,28.2,0,0.5,191.5,1.9,0.3,85.2,908,0,0,154.4,25,25.7,0,12.79
2023-01-31,24:0,27.5,28.2,0,1.3,186.8,6.4,0.3,87.4,908,0,0,154.8,25.2,25.8,0,12.76
