Date,Hour,AirTemp.,SurfaceTemp.,Rain,WindSpeed,WindDirect.,WindSpeed(max),WindSpeed(min),Humidity,Barom.Press.,"Solar radiation",SolarradiationEnergy,LeafWetness,DewPoint,WetBulb,"Sun Hours",BatteryVoltage
2023-02-12,1:0,26.9,24.6,0,1.1,355.6,2.5,0.3,70.7,903,0,0,191.5,21,22.7,0,12.82
2023-02-12,2:0,25.4,24.5,0,1.9,324.5,3,0.3,75.9,903,0,0,206.6,20.9,22.1,0,12.79
2023-02-12,3:0,24.7,24.6,0,1.6,319.5,2.9,0.3,79.7,902,0,0,216.6,21,22,0,12.77
2023-02-12,4:0,24.2,24.5,0,1.2,291.7,3.2,0.3,81,902,0,0,224.8,20.7,21.7,0,12.74
2023-02-12,5:0,23,24.7,0,0.3,286.5,1,0.3,95.3,903,0,0,237,22.2,22.4,0,12.71
2023-02-12,6:0,23.7,24.7,0,1,291.6,2.1,0.3,88.5,902,0,0,239.8,21.6,22.2,0,12.69
2023-02-12,7:0,23,24.7,0,0.7,263.9,2.1,0.3,91.4,903,11.4,0.04,244.1,21.6,22,0,12.66
2023-02-12,8:0,25.7,24.7,0,0.9,261.2,2.5,0.3,77.9,904,160.2,0.58,236,21.5,22.6,23.2,12.72
2023-02-12,9:0,29.6,24,0,1.8,247.3,4.5,0.3,63.7,904,273,0.98,174,22,24,1.4,13.12
2023-02-12,10:0,31.8,23.7,0,2.4,287.3,4.3,0.9,57.1,904,533,1.92,154.2,22.3,24.7,42.6,13.37
2023-02-12,11:0,34.6,23.9,0,2.8,321.8,5,0.6,44.7,903,864,3.11,153.4,20.8,24.6,60,13.69
2023-02-12,12:0,36.7,24,0,2.4,308.5,4.5,0.4,39.3,903,1020,3.67,153.1,20.6,24.9,60,13.63
2023-02-12,13:0,38.4,23.9,0,1.8,257.8,3.7,0.3,32.6,903,1090,3.92,152.7,18.9,24.4,60,13.15
2023-02-12,14:0,39.2,24.2,0,1.9,179.7,4.2,0.3,27.8,902,1074,3.87,152.6,17.2,23.7,59.2,13.2
2023-02-12,15:0,39.2,24.2,0,1.9,179.7,4.2,0.3,27.8,902,1074,3.87,152.6,17.2,23.7,59.2,13.2
2023-02-12,16:0,39.7,23.7,0,3.1,191.2,5.3,0.6,26,901,788.7,2.84,152.1,16.6,23.4,54.1,13.86
2023-02-12,17:0,39.4,23.5,0,3.3,173.6,5.3,0.9,27,901,640.4,2.31,152,17,23.6,60,13.34
2023-02-12,18:0,38.7,22.8,0,2.7,176.2,5.3,1,27.6,901,348.6,1.25,151.9,16.7,23.2,55.6,13.29
2023-02-12,19:0,36.4,22.5,0,1.7,177.8,3.3,1,36.1,901,83.3,0.3,152.9,18.9,23.8,26.1,13.05
2023-02-12,20:0,33.3,22.5,0,1.2,171.9,1.7,0.7,47.9,902,0.2,0,155.1,20.8,24.2,0,12.98
2023-02-12,21:0,31.6,22.1,0,1.5,146.1,2.4,0.3,55,902,0,0,156.6,21.4,24.2,0,12.94
2023-02-12,22:0,30.5,21.9,0,1.3,156.1,2.2,0.3,55.8,903,0,0,158.4,20.6,23.3,0,12.9
2023-02-12,23:0,28.8,21.5,0,0.4,120,1.3,0.3,63.5,903,0,0,162.1,21,23.2,0,12.87
2023-02-12,24:0,27.9,21.4,0,0.5,52.6,1.4,0.3,68.8,903,0,0,168,21.7,23.4,0,12.84
