Date,Hour,AirTemp.,SurfaceTemp.,Rain,WindSpeed,WindDirect.,WindSpeed(max),WindSpeed(min),Humidity,Barom.Press.,"Solar radiation",SolarradiationEnergy,LeafWetness,DewPoint,WetBulb,"Sun Hours",BatteryVoltage
2023-02-16,1:0,25.8,24.5,0,1.8,227.2,3.9,0.5,99.9,900,0,0,165.8,25.8,25.8,0,12.66
2023-02-16,2:0,25.7,23.1,0,2.7,214,5.2,0.9,99.9,900,0,0,160.4,25.7,25.7,0,12.65
2023-02-16,3:0,25.5,22.2,0,2.3,198.3,4.5,0.9,99.9,899,0,0,161.2,25.5,25.5,0,12.64
2023-02-16,4:0,25.4,21.3,0,2.3,158.1,3.8,1.3,99.9,898,0,0,163.4,25.4,25.4,0,12.63
2023-02-16,5:0,25.4,21.4,0,1.7,217.2,3.8,0.3,99.9,898,0,0,167.5,25.4,25.4,0,12.61
2023-02-16,6:0,25,21.3,0,0.8,245.9,1.9,0.3,99.9,898,0,0,177.3,25,25,0,12.59
2023-02-16,7:0,25,21.2,0,1.6,262.7,4.9,0.3,99.9,899,3.9,0.01,186.2,25,25,0,12.58
2023-02-16,8:0,25.7,21.2,0,2.2,244.6,4.3,0.6,99.9,900,68.9,0.25,208.6,25.7,25.7,0,12.61
2023-02-16,9:0,27,21.2,0,2.3,235.3,4.6,0.8,99.3,900,173,0.62,173.7,26.9,26.9,0,12.75
2023-02-16,10:0,28.1,21.2,0,3,231.5,6,1,92.7,901,259,0.93,157.9,26.8,27,4.3,13.03
2023-02-16,11:0,28.7,21.1,0,2.8,221.4,5.3,1,89.1,900,376.4,1.36,159.9,26.8,27.2,7.1,13.17
2023-02-16,12:0,30.3,21.1,0,3,208.4,5.3,1.1,81.9,900,,,167.8,26.9,27.7,18.7,13.28
2023-02-16,13:0,32.8,21,0,3.4,218.2,6.6,1.1,69.6,899,,,154.6,26.5,27.9,45.6,13.28
2023-02-16,14:0,32.8,21,0,3.5,203.4,5.9,1.2,67.7,899,460.6,1.66,154.3,26,27.6,9.1,13.25
2023-02-16,15:0,30.5,21,0,3.4,140.3,5.5,1.6,84.1,898,337.9,1.22,175.8,27.5,,0,13.24
2023-02-16,16:0,30.1,21.1,0,3.1,163,5.8,1.4,88.5,897,318.9,1.15,214.5,28,,0,13.24
2023-02-16,17:0,30.8,21.1,0,3.1,160.6,4.8,1.6,82.6,897,299.6,1.08,162.1,27.5,,0.1,13.24
2023-02-16,18:0,30.8,21.1,0,3.2,144.4,6.1,1.5,79.8,898,134.7,0.48,156,26.9,27.8,0,13.06
2023-02-16,19:0,29.6,21.1,0,3.3,134.2,5.3,1.3,85.9,898,34.4,0.12,156.2,27,27.6,0,12.91
2023-02-16,20:0,28.4,21.2,0,1.6,97.2,3.8,0.3,94.3,899,0.2,0,158.7,27.4,27.6,0,12.85
2023-02-16,21:0,27.6,21.3,0,0.8,357.7,2,0.3,99.8,900,0,0,169.4,27.6,27.6,0,12.82
2023-02-16,22:0,27.6,21.2,0,2.4,296.7,5,0.3,99.5,901,0,0,175.3,27.5,27.6,0,12.78
2023-02-16,23:0,26.4,21.2,0,2.3,290.9,4.2,0.3,91,901,0,0,195.8,24.9,25.2,0,12.75
2023-02-16,24:0,25.5,21.3,0,0.7,316.2,2.5,0.3,93.4,901,0,0,185,24.3,24.6,0,12.72
