Date,Hour,AirTemp.,SurfaceTemp.,Rain,WindSpeed,WindDirect.,WindSpeed(max),WindSpeed(min),Humidity,Barom.Press.,"Solar radiation",SolarradiationEnergy,LeafWetness,DewPoint,WetBulb,"Sun Hours",BatteryVoltage
2023-01-16,1:0,28.8,28.2,0,2.7,27.82,4,1.3,74.3,906,0,0,153.1,23.8,25,0,12.83
2023-01-16,2:0,28.6,28.2,0,2.7,21.99,4.7,1.4,74.5,905,0,0,153.1,23.6,24.9,0,12.82
2023-01-16,3:0,27.7,28.2,0,2.3,48.97,3.3,1.1,78.5,905,0,0,153.2,23.6,24.6,0,12.79
2023-01-16,4:0,26.5,28.2,0,1.4,70.88,2.6,0.3,83.9,905,0,0,153.6,23.6,24.3,0,12.77
2023-01-16,5:0,25.7,28.2,0,1.9,79.37,2.9,1,91,905,0,0,154,24.1,24.5,0,12.74
2023-01-16,6:0,24.9,28.2,0,1.6,92.8,2.5,0.3,96,905,0,0,154.2,24.3,24.4,0,12.71
2023-01-16,7:0,25.1,28.3,0,1.8,119,3.5,0.6,95.6,906,46.4,0.17,154.9,24.3,24.5,10.8,12.7
2023-01-16,8:0,27.8,28.2,0,3.2,103.9,5.5,1.4,81.2,906,250.4,0.9,154.1,24.3,25.1,51.2,12.77
2023-01-16,9:0,29.9,28.1,0,3.7,81.6,5.8,2,70.9,907,446.5,1.61,153.3,24,25.5,46.4,13.12
2023-01-16,10:0,31.7,28.1,0,4.2,66.92,7.1,1.4,65.1,907,625.1,2.25,153,24.3,26.1,47.5,13.35
2023-01-16,11:0,33.7,28.1,0,5.6,67.57,9.7,2.3,55.4,907,530.3,1.91,152.5,23.5,26,26.2,13.38
2023-01-16,12:0,34.8,28.1,0,5.7,77.06,9.3,2.2,50.6,906,657.8,2.37,152.5,23,26,24.8,13.4
2023-01-16,13:0,35.8,28.1,0,6.2,62.27,11.5,2.7,46.5,905,774.8,2.79,152.3,22.6,25.9,31.4,13.31
2023-01-16,14:0,35.1,28,0,6.9,80.9,13.6,3,46.7,905,745,2.68,152,21.8,25.3,32.9,13.25
2023-01-16,15:0,32.2,28.1,0,6.4,80.5,10.4,2.6,57.2,904,720.8,2.59,152.2,22.6,25.1,28.1,13.92
2023-01-16,16:0,33.4,28.1,0,4.8,46.78,8.7,2.4,52.9,904,368.5,1.33,152,22.5,25.3,3.7,13.55
2023-01-16,17:0,33.3,28.1,0,4.2,85.8,7.1,2,50.6,903,236.7,0.85,151.9,21.7,24.7,0,13.53
2023-01-16,18:0,32.8,28.1,0,2.9,99.6,5.3,0.8,56,903,173.5,0.62,152.1,22.9,25.4,0,13.26
2023-01-16,19:0,32,28.1,0,1.7,88.4,3.3,0.3,58.7,904,65.8,0.24,152.2,22.9,25.2,0.9,13.02
2023-01-16,20:0,31.1,28.1,0,0.5,85,1.5,0.3,62.3,905,0.8,0,152.3,23,25.1,0,12.95
2023-01-16,21:0,30.2,28.2,0,1,83.8,2,0.3,65.8,905,0,0,152.6,23.1,24.9,0,12.92
2023-01-16,22:0,29.6,28.2,0,2,60.4,3.3,1.1,71.2,906,0,0,153,23.9,25.3,0,12.89
2023-01-16,23:0,29.3,28.2,0,1.8,42.72,3.1,0.9,75.2,906,0,0,153.2,24.5,25.7,0,12.86
2023-01-16,24:0,29.2,28.2,0,1.4,329.3,2.4,0.3,74.3,906,0,0,153.4,24.1,25.4,0,12.84
