Date,Hour,AirTemp.,SurfaceTemp.,Rain,WindSpeed,WindDirect.,WindSpeed(max),WindSpeed(min),Humidity,Barom.Press.,"Solar radiation",SolarradiationEnergy,LeafWetness,DewPoint,WetBulb,"Sun Hours",BatteryVoltage
2023-01-09,1:0,26.5,25.1,0,4.1,78.66,5.9,2.6,78.7,907,0,0,153.7,22.5,23.6,0,12.79
2023-01-09,2:0,25.5,25.5,0,3.4,79.61,5.2,1.7,83.5,907,0,0,154.2,22.5,23.3,0,12.76
2023-01-09,3:0,25.1,25.7,0,3.1,82.9,5.6,1.1,85.6,906,0,0,154.7,22.6,23.3,0,12.74
2023-01-09,4:0,24.4,25.2,0,3.4,83.2,5.3,2.2,89.3,906,0,0,155.2,22.6,23.1,0,12.71
2023-01-09,5:0,23.5,25.2,0,2.7,73.15,4.4,1.5,93.9,906,0,0,156.8,22.5,22.8,0,12.67
2023-01-09,6:0,22.3,24.9,0,1.1,75.96,2.2,0.3,99.7,907,0.1,0,160.1,22.3,22.3,0,12.64
2023-01-09,7:0,22.3,24.9,0,1.4,62.98,2.3,0.3,99.9,907,49.8,0.18,163.4,22.3,22.3,7.5,12.64
2023-01-09,8:0,25.3,25.2,0,2.8,72.01,4.8,0.4,87.1,908,254.2,0.92,156.5,23,23.6,53.7,12.78
2023-01-09,9:0,29.1,27.4,0,4.7,68.11,7.8,2.5,68.4,908,510.5,1.84,154,22.6,24.3,60,13.15
2023-01-09,10:0,31.5,28,0,5.5,79.01,8.6,2.5,57.5,908,666.7,2.4,153,22.1,24.6,47.7,13.36
2023-01-09,11:0,32.3,27.9,0,4.6,75.71,7.9,2.1,55.1,908,729.5,2.63,152.8,22.1,24.8,44.3,13.54
2023-01-09,12:0,34.4,28,0,4.2,85.3,8.2,1.4,49.2,908,1100,3.96,152.8,22.2,25.3,56.1,13.61
2023-01-09,13:0,35.6,27.9,0,3.9,84.8,9.3,0.3,45.4,907,959,3.45,152.5,21.9,25.4,45.1,13.53
2023-01-09,14:0,36.9,27.9,0,4.7,91.4,8.2,1.4,40.2,906,1094,3.94,152.4,21.1,25.3,52.4,13.9
2023-01-09,15:0,37.4,27.9,0,4.4,95,7.6,1.7,37.1,905,882,3.18,152.2,20.3,24.9,47.8,14.01
2023-01-09,16:0,37.7,27.8,0,4.3,110.1,7.9,1.4,34,905,754.9,2.72,152,19.1,24.3,52.7,13.9
2023-01-09,17:0,37.7,27.9,0,4.2,108.1,8,1,31,904,544.5,1.96,151.6,17.7,23.5,57.5,13.39
2023-01-09,18:0,36.9,27.9,0,3.7,106.9,6.9,1.7,32.7,904,324.7,1.17,151.6,17.9,23.4,60,13.16
2023-01-09,19:0,35.7,27.9,0,3.3,95.2,5.6,1.3,35.1,905,123.6,0.44,151.5,17.9,23.1,50.3,13.01
2023-01-09,20:0,33.1,27.3,0,2.4,91.4,4.5,1.5,42.1,905,2.2,0.01,151.8,18.5,22.7,0,12.96
2023-01-09,21:0,31,26.9,0,1.7,86.6,2.4,1.2,50.1,906,0,0,152.2,19.4,22.7,0,12.93
2023-01-09,22:0,29.7,27.3,0,1.7,97.4,2.3,1.3,57.4,907,0,0,152.5,20.4,23,0,12.89
2023-01-09,23:0,28.6,27.4,0,1.7,107.9,3.6,0.5,63.4,908,0,0,152.9,21,23.1,0,12.85
2023-01-09,24:0,28.9,27.7,0,2.3,127.7,4.1,1.4,64.7,908,0,0,153.1,21.6,23.5,0,12.83
