Date,Hour,AirTemp.,SurfaceTemp.,Rain,WindSpeed,WindDirect.,WindSpeed(max),WindSpeed(min),Humidity,Barom.Press.,"Solar radiation",SolarradiationEnergy,LeafWetness,DewPoint,WetBulb,"Sun Hours",BatteryVoltage
2023-02-14,1:0,30,23.8,0,1.7,61.83,4.4,0.3,66.3,903,0,0,158.3,23,24.8,0,12.84
2023-02-14,2:0,29.6,24.2,0,3.1,47.26,5.5,1,64.3,903,0,0,154.5,22.2,24.1,0,12.83
2023-02-14,3:0,28.8,25.3,0,0.9,115.9,2,0.3,70,902,0,0,154.9,22.8,24.4,0,12.8
2023-02-14,4:0,28.2,25.7,0,1,186.8,2.6,0.3,76.3,902,0,0,155.3,23.6,24.8,0,12.77
2023-02-14,5:0,27.2,26,0,0.8,218.5,2.2,0.3,82.9,902,0,0,156,24,24.8,0,12.74
2023-02-14,6:0,26.1,25.3,0,0.4,221.1,1.6,0.3,88.8,902,0,0,158.4,24.1,24.6,0,12.71
2023-02-14,7:0,25.7,23.4,0,0.7,86.2,1.6,0.3,95.2,903,8.8,0.03,158,24.9,25.1,0,12.7
2023-02-14,8:0,27.2,23.8,0,1.9,103.8,3.3,0.7,89.1,903,77.6,0.28,156.1,25.3,25.7,0,12.74
2023-02-14,9:0,30.1,25,0,2.3,116.6,4.4,1,74.1,903,292.7,1.05,154.9,24.9,26.2,8.4,13.13
2023-02-14,10:0,32.3,27.4,0,2.5,120.3,4.1,1,65.3,903,465.2,1.67,154.2,24.9,26.7,23.4,13.35
2023-02-14,11:0,34.3,27.5,0,2.4,81.5,4.5,0.3,57.5,903,817,2.94,153.7,24.7,27,58.7,13.64
2023-02-14,12:0,35.4,27.4,0,2.2,47.49,5.1,0.3,51.6,903,836,3.01,153.2,23.9,26.7,50.4,13.81
2023-02-14,13:0,36,27.3,0,1.5,100.4,4.3,0.3,48.7,902,685.2,2.47,152.9,23.5,26.6,25.3,13.93
2023-02-14,14:0,36.6,27.4,0,1.2,278.4,3.8,0.3,46.1,901,867,3.12,152.9,23.1,26.5,36.2,14.06
2023-02-14,15:0,37,27.7,0,1.6,278.7,3.7,0.3,45.8,899,742,2.67,152.7,23.4,26.8,34.3,13.55
2023-02-14,16:0,37.4,27.5,0,1.8,191.3,3.7,0.3,43.6,899,651.8,2.35,152.7,22.9,26.5,42.4,13.33
2023-02-14,17:0,36.3,27.8,0,2.5,143.4,5.8,0.3,47.3,898,366.9,1.32,152.6,23.3,26.5,14.4,13.36
2023-02-14,18:0,36.5,27.8,0,2.1,153.6,7.3,0.3,46.5,899,328.7,1.18,152.6,23.2,26.5,44.4,13.35
2023-02-14,19:0,31.7,27.9,0,5.3,180.2,9.9,2.1,59.9,900,17,0.06,152.8,22.9,25.2,0,13.01
2023-02-14,20:0,29.4,27.6,0,2.6,163,4.7,1.2,72.9,900,0,0,155.8,24,25.3,0,12.96
2023-02-14,21:0,29,27.8,0,4.3,139.1,8.4,1.9,78.8,901,0,0,154.7,25,25.9,0,12.92
2023-02-14,22:0,28.2,28.1,0,3.1,130,5.3,1.5,86.7,902,0,0,172.2,25.7,26.3,0,12.89
2023-02-14,23:0,26.8,28.2,0,1.8,217.5,5.4,0.3,99.2,904,0,0,207.1,26.7,26.7,0,12.87
2023-02-14,24:0,26.6,28.2,0,0.4,274.6,1.5,0.3,99.6,903,0,0,183.7,26.5,26.5,0,12.85
