Date,Hour,AirTemp.,SurfaceTemp.,Rain,WindSpeed,WindDirect.,WindSpeed(max),WindSpeed(min),Humidity,Barom.Press.,"Solar radiation",SolarradiationEnergy,LeafWetness,DewPoint,WetBulb,"Sun Hours",BatteryVoltage
2023-01-11,1:0,27.6,28.1,0,2.7,41.68,4.2,1.4,81,908,0,0,154.1,24.1,25,0,12.83
2023-01-11,2:0,27,28.2,0,1.3,64.25,2.9,0.3,85,908,0,0,154.3,24.3,25,0,12.81
2023-01-11,3:0,27,28.2,0,1.2,94.3,2.1,0.3,86.1,907,0,0,154.3,24.5,25.1,0,12.78
2023-01-11,4:0,26.9,28.2,0,1.2,96.4,2.5,0.3,87.1,907,0,0,154.5,24.5,25.1,0,12.76
2023-01-11,5:0,26.9,28.2,0,0.4,84.1,1.6,0.3,88.1,907,0,0,154.5,24.7,25.2,0,12.74
2023-01-11,6:0,26.8,28.2,0,1.6,125.6,3.2,0.3,89.7,907,0.3,0,154.8,25,25.4,0,12.7
2023-01-11,7:0,27.2,28.2,0,1.4,116.8,2.7,0.3,88.1,908,33.6,0.12,154.8,25,25.5,0,12.69
2023-01-11,8:0,28.2,28.2,0,1.7,135,2.9,0.3,83.8,908,127.1,0.46,154.6,25.3,26,0.2,12.8
2023-01-11,9:0,30.3,28.2,0,3.1,92.6,6.4,1.2,75.1,909,305.7,1.1,154.1,25.4,26.6,17.7,13.08
2023-01-11,10:0,33,28.1,0,4.8,69.11,8.7,2,63,909,696,2.51,153.4,25,26.9,48.2,13.39
2023-01-11,11:0,35.2,28.1,0,5,65.05,9.2,1.7,51.6,909,892,3.21,152.9,23.7,26.5,53.4,13.68
2023-01-11,12:0,37.7,28,0,4.9,90.6,9.7,1.8,38.1,908,,,152.8,20.9,25.4,58.2,13.7
2023-01-11,13:0,39.1,28,0,6,95.5,10.1,3.3,30.5,907,994,3.58,152.4,18.6,24.4,54.4,13.18
2023-01-11,14:0,39.9,28,0,5.8,88.8,10.3,2.3,28.7,906,1034,3.72,152.1,18.3,24.4,54.1,13.29
2023-01-11,15:0,39.4,28,0,5.8,90.1,11.7,2.5,28.8,905,745.4,2.68,151.8,17.9,24.1,37,13.85
2023-01-11,16:0,40.2,28,0,6.1,93.6,10.8,2.5,25.1,904,811,2.92,151.7,16.4,23.5,58.4,14.13
2023-01-11,17:0,40.1,28,0,5.7,107.3,10.5,2.1,21.1,904,610.9,2.2,151.4,13.6,22.1,60,13.45
2023-01-11,18:0,39.4,28,0,5.3,107.8,9,2.7,18.9,903,366.3,1.32,151.1,11.4,21,60,13.15
2023-01-11,19:0,37.6,28,0,4.6,92.7,8.3,2.7,20.8,904,115.8,0.42,151,11.4,20.4,44.3,13.01
2023-01-11,20:0,33.9,28.1,0,2.6,80.8,4.4,1.8,26.9,905,0.8,0,150.9,12.2,19.7,0,12.97
2023-01-11,21:0,31,28.2,0,2.1,80.4,2.9,1.6,32.3,905,0,0,151.1,12.5,19,0,12.94
2023-01-11,22:0,29.6,28.2,0,3,67.62,5.4,1.8,33.7,906,0,0,151.3,11.9,18.2,0,12.9
2023-01-11,23:0,29,28.2,0,2.2,357.4,3.7,1,51.4,907,0,0,151.7,17.8,21.2,0,12.87
2023-01-11,24:0,27.4,28.2,0,1,310.6,2.7,0.3,67.3,907,0,0,152.4,20.8,22.7,0,12.83
